"WY","WY_label","Year_group","Watershed","Watershed_group","Area","H2O","DOC","Cl","NO3","SO4","NH4","Si","N flux","Ca","K","Mg","Na","H","Al","ANC","HCO3","Discharge L/s","EQPH","Ca_vol","Mg_vol","NO3_vol","SO4_vol","DOC_vol","Al_vol","Al_ug_vol","H_vol","CaMg_vol","WY_group2","WY_group"
1991,NA,NA,"WB","WB (treatment)",10.26,114,1562.65,603.285,501.84,1549.378,8.59,785.548,510.43,1161.524,93.54,455.414,846.094,50.57,105.303,27.074,34.821,12.145825203252,5.62487903225807,104.53716,40.98726,45.1656,139.44402,140.6385,9.47727,255.88629,4.5513,145.52442,"1990-99","1990-99"
1992,"92",NA,"WB","WB (treatment)",10.26,90,1097.275,559.494,372.628,1356.386,10.885,666.772,383.513,1019.111,75.787,394.546,711.956,44.996,80.868,10.039,24.935,5.73405839416057,5.49266423357664,116.178654,44.978244,42.479592,154.628004,125.08935,9.218952,248.911704,5.129544,161.156898,"1990-99","1990-99"
1993,NA,NA,"WB","WB (treatment)",10.26,97,1229.175,528.62,413.628,1415.956,26.679,580.459,440.307,983.92,98.259,369.211,651.267,68.029,135.202,5.294,20.078,10.6461182978724,5.37174468085106,104.072362886598,39.0526274226804,43.7507554639175,149.770191340206,130.013768041237,14.300747628866,386.120185979381,7.19564474226804,143.124990309278,"1990-99","1990-99"
1994,"94",NA,"WB","WB (treatment)",10.26,115,1644.378,822.667,409.386,2075.312,0.233,767.602,409.619,1321.722,109.664,450.993,926.72,110.536,225.97,2.682,24.587,10.9549335548173,5.15783333333333,117.920588869565,40.2364189565217,36.5243509565217,185.153922782609,146.707115478261,20.1604539130435,544.332255652174,9.86173356521739,158.157007826087,"1990-99","1990-99"
1995,NA,NA,"WB","WB (treatment)",10.26,65,851.65,461.752,395.128,1193.104,8.521,478.676,403.649,814.652,65.36,282.674,573.231,71.008,149.999,1.991,13.843,7.84025609756098,5.11060975609757,128.589684923077,44.6190036923077,62.3694350769231,188.326877538462,134.429676923077,23.6767652307692,639.272661230769,11.2083396923077,173.208688615385,"1990-99","1990-99"
1996,"96",NA,"WB","WB (treatment)",10.26,132,1834.346,1267.073,443.375,2445.817,10.383,822.359,453.758,1516.925,119.859,522.836,1251.87,173.976,146.675,0.454,29.922,10.3104338983051,4.9676254180602,117.906443181818,40.6386163636364,34.4623295454545,190.106685,142.578711818182,11.4006477272727,307.817488636364,13.52268,158.545059545455,"1990-99","1990-99"
1997,NA,NA,"WB","WB (treatment)",10.26,89,1185.634,621.013,353.92,1561.941,10.011,620.077,363.931,864.1,75.114,301.749,683.525,98.764,202.652,0.329,18.614,6.81854268292683,5.07615853658537,99.6142247191011,34.7858959550562,40.8002157303371,180.06196247191,136.680953258427,23.3619047191011,630.77142741573,11.3856026966292,134.400120674157,"1990-99","1990-99"
1998,"98",NA,"WB","WB (treatment)",10.26,115,1872.593,707.994,444.075,2073.628,4.689,784.17,448.764,1064.814,108.418,399.696,863.685,133.713,189.05,0.094,21.568,7.2660796460177,5.02464912280702,94.9999273043478,35.6598344347826,39.6192130434783,185.003680695652,167.067862434783,16.866547826087,455.396791304348,11.9295250434783,130.65976173913,"1990-99","1990-99"
1999,NA,NA,"WB","WB (treatment)",10.26,99,1421.035,676.342,717.263,1737.168,27.423,632.22,744.686,1016.935,112.756,398.669,804.794,122.279,225.777,1.131,18.093,7.2140925974026,4.96124183006536,105.391445454545,41.3166054545455,74.3345290909091,180.033774545455,147.2709,23.3987072727273,631.765096363636,12.6725509090909,146.708050909091,"1990-99","1990-99"
2000,"00",NA,"WB","WB (treatment)",10.26,103,1643.796,862.144,450.27,1786.739,12.007,751.936,462.277,933.321,98.906,349.1,901.15,181.508,231.242,0.139,17.805,9.30046590909091,4.78647727272727,92.9696452427185,34.774427184466,44.8521378640777,177.980020776699,163.741232621359,23.0343972815534,621.928726601942,18.0803114563107,127.744072427184,"2000-09","2000-09"
