"Site","Watershed","Record.Type","ISCO_number","Date","Year","Month","Day","Hour","Season","Ca_ueq_L","Mg_ueq_L","K_ueq_L","Na_ueq_L","NO3_ueq_L","SO4_ueq_L","NH4_ueq_L","total_N_ppm","DOC_mg_L","DIC_mg_L","Al_ppb","Al_org_ppb","Cl_ueq_L","Si_mg_L","total_P_ppb","H_ueq_L","ANC_ueq_L","HCO3_ueq_L","pH_closed_cell","pH_air_eqll","pH_initial","pH_uneqll_older_samples","sp_conductance_us_cm","SUVA"
"EB8","EB","ISCO",10,1990-11-24,1990,11,24,22,"FALL",81,29,4.1,74,9.9,105,1.4,,1.8,,143,,61,1.8,,2.82,0.3,,5.45,5.55,,,25.3,
"WB3","WB","ISCO",8,1990-11-24,1990,11,24,22,"FALL",110,42,6.4,84,33.8,134,1.4,,1.5,,148,,65,2.1,,2.24,-1.2,,5.47,5.65,,,31.7,
"EB8","EB","ISCO",19,1990-11-25,1990,11,25,22,"FALL",81,29,4.6,74,11.7,107,1.4,,1.7,,146,,62,1.7,,2.63,-2.4,,5.34,5.58,,,25.2,
"WB3","WB","ISCO",16,1990-11-25,1990,11,25,22,"FALL",113,42,6.1,84,36.3,139,1.4,,1.4,,164,,69,2,,2.75,-1.6,,5.4,5.56,,,32.9,
"WB3","WB","REG",,1990-11-27,1990,11,27,10,"FALL",108,42,6.6,84,30.4,126,1.4,,1.3,0.5,127,46,68,2.2,,2.4,2,4.5,5.47,5.62,,,31.9,
"WB3","WB","DUP",,1990-11-27,1990,11,27,10,"FALL",109,42,7.2,85,32.5,131,1.4,,1.2,0.5,128,49,68,2.2,,2.09,2,4.59,5.48,5.68,,,31.8,
"EB8","EB","ISCO",1,1990-11-27,1990,11,27,13,"FALL",80,28,3.8,75,10.2,107,1.4,,1.6,,120,,62,1.8,,2.51,3.6,,5.49,5.6,,,25,
"EB8","EB","REG",,1990-11-27,1990,11,27,13,"FALL",80,29,4.3,74,9.8,103,1.4,,1.8,0.4,139,57,59,1.8,,2.82,1.2,4.45,5.53,5.55,,,25.2,
"WB3","WB","ISCO",1,1990-11-27,1990,11,27,13,"FALL",115,43,8.9,89,32.7,162,12.7,,1.4,,106,,65,2.1,,3.55,-0.6,,5.49,5.45,,,36.2,
"EB8","EB","ISCO",2,1990-11-27,1990,11,27,14,"FALL",81,29,3.8,76,10.1,107,1.4,,1.7,,126,,62,1.8,,2.29,1,,5.48,5.64,,,25,
"WB3","WB","ISCO",2,1990-11-27,1990,11,27,14,"FALL",112,43,7.9,89,33.4,152,5.54,,1.3,,109,,68,2.1,,2.69,-1.4,,5.49,5.57,,,35.2,
"EB8","EB","ISCO",3,1990-11-27,1990,11,27,15,"FALL",81,28,4.3,75,10.3,107,1.4,,2.1,,120,,63,1.8,,2.69,3,,5.54,5.57,,,24.8,
"WB3","WB","ISCO",3,1990-11-27,1990,11,27,15,"FALL",113,43,8.4,89,33.1,149,3.88,,1.4,,108,,68,2.1,,3.02,-1.3,,5.51,5.52,,,33.5,
"EB8","EB","ISCO",4,1990-11-27,1990,11,27,16,"FALL",80,28,3.8,76,10.1,107,1.4,,1.7,,102,,62,1.8,,2.69,-0.2,,5.41,5.57,,,25,
"WB3","WB","ISCO",4,1990-11-27,1990,11,27,16,"FALL",113,43,8.2,89,34,152,4.43,,1.2,,108,,67,2.1,,2.75,-1.1,,5.52,5.56,,,33.8,
"EB8","EB","ISCO",5,1990-11-27,1990,11,27,17,"FALL",79,28,4.3,75,10.3,108,1.4,,1.6,,123,,62,1.8,,2.4,0.3,,5.48,5.62,,,24.8,
"WB3","WB","ISCO",5,1990-11-27,1990,11,27,17,"FALL",117,44,8.7,89,33.3,152,4.43,,1.4,,110,,67,2.1,,3.09,-2.2,,5.5,5.51,,,33.9,
"EB8","EB","ISCO",6,1990-11-27,1990,11,27,18,"FALL",80,28,4.3,77,10.4,107,1.4,,1.8,,124,,65,1.8,,2.09,1.8,,5.57,5.68,,,25,
"WB3","WB","ISCO",6,1990-11-27,1990,11,27,18,"FALL",115,44,8.7,89,34.9,156,4.43,,1.4,,109,,68,2.1,,3.02,-2.6,,5.46,5.52,,,34.2,
"EB8","EB","ISCO",7,1990-11-27,1990,11,27,19,"FALL",79,28,4.6,76,10.3,108,1.4,,1.9,,123,,63,1.8,,2.69,0.1,,5.43,5.57,,,25.1,
"WB3","WB","ISCO",7,1990-11-27,1990,11,27,19,"FALL",118,44,8.4,90,34.3,156,3.88,,,,110,,68,2.1,,2.88,-3.4,,5.47,5.54,,,34.4,
"EB8","EB","ISCO",8,1990-11-27,1990,11,27,20,"FALL",80,28,4.3,75,10.6,108,1.4,,1.7,,120,,63,1.8,,1.91,-0.9,,5.43,5.72,,,25.1,
"WB3","WB","ISCO",8,1990-11-27,1990,11,27,20,"FALL",116,44,8.7,90,34.5,153,3.32,,1.3,,112,,68,2.1,,2.09,2,,5.44,5.68,,,34.4,
"EB8","EB","ISCO",9,1990-11-27,1990,11,27,21,"FALL",80,28,4.1,76,10.2,109,1.4,,1.8,,122,,64,1.8,,2,0.5,,5.45,5.7,,,25.1,
"WB3","WB","ISCO",9,1990-11-27,1990,11,27,21,"FALL",117,44,8.2,89,35.3,155,2.77,,1.3,,125,,68,2.1,,2.51,-1.5,,5.49,5.6,,,34.6,
"EB8","EB","ISCO",10,1990-11-27,1990,11,27,22,"FALL",79,28,4.3,76,10.4,107,1.4,,1.7,,130,,63,1.8,,2.19,-0.5,,5.42,5.66,,,25.1,
"WB3","WB","ISCO",10,1990-11-27,1990,11,27,22,"FALL",116,44,8.4,89,35,153,2.77,,1.2,,121,,68,2.1,,3.09,-1.1,,5.54,5.51,,,34.2,
"EB8","EB","ISCO",11,1990-11-27,1990,11,27,23,"FALL",80,28,4.9,77,10.5,109,1.4,,1.8,,126,,64,1.8,,2.75,-0.8,,5.42,5.56,,,25.1,
"WB3","WB","ISCO",11,1990-11-27,1990,11,27,23,"FALL",117,44,8.2,89,35.5,151,2.77,,1.3,,125,,69,2.2,,3.24,-2.5,,5.45,5.49,,,34,
"EB8","EB","ISCO",12,1990-11-27,1990,11,27,24,"FALL",78,27,4.3,75,10.3,107,1.4,,1.7,,127,,62,1.8,,2.19,1,,5.46,5.66,,,25,
"WB3","WB","ISCO",12,1990-11-27,1990,11,27,24,"FALL",116,44,7.7,89,35.3,150,1.4,,1.3,,126,,67,2.1,,2.75,-2.6,,5.48,5.56,,,34,
"EB8","EB","ISCO",13,1990-11-28,1990,11,28,1,"FALL",79,27,4.6,76,10,108,1.4,,1.7,,133,,63,1.8,,3.16,1.2,,5.5,5.5,,,25,
"WB3","WB","ISCO",13,1990-11-28,1990,11,28,1,"FALL",117,44,8.2,89,35.6,147,1.4,,1.3,,126,,67,2.1,,2.57,-2.4,,5.47,5.59,,,33.9,
"EB8","EB","ISCO",14,1990-11-28,1990,11,28,2,"FALL",79,28,4.6,76,10.6,110,1.4,,1.8,,129,,64,1.8,,2.57,0.6,,5.48,5.59,,,25,
"WB3","WB","ISCO",14,1990-11-28,1990,11,28,2,"FALL",117,44,8.2,89,36.3,149,1.4,,1.2,,125,,68,2.1,,2.88,-0.9,,5.52,5.54,,,33.9,
"EB8","EB","ISCO",15,1990-11-28,1990,11,28,3,"FALL",80,28,4.3,77,10.4,108,1.4,,1.6,,129,,63,1.8,,2.57,0.1,,5.45,5.59,,,25,
"WB3","WB","ISCO",15,1990-11-28,1990,11,28,3,"FALL",118,44,7.9,88,35.6,146,1.4,,1.4,,127,,67,2.1,,2.69,-0.7,,5.55,5.57,,,33.8,
"EB8","EB","ISCO",16,1990-11-28,1990,11,28,4,"FALL",79,27,4.9,76,10.7,108,1.4,,1.6,,122,,63,1.8,,3.02,0.5,,5.47,5.52,,,25.1,
"WB3","WB","ISCO",16,1990-11-28,1990,11,28,4,"FALL",117,44,7.7,88,35.9,146,1.4,,1.4,,134,,68,2.1,,2.34,1,,5.54,5.63,,,33.8,
"EB8","EB","ISCO",17,1990-11-28,1990,11,28,5,"FALL",80,27,4.6,76,10.4,108,1.4,,1.9,,130,,63,1.8,,2.29,-0.1,,5.45,5.64,,,25.2,
"WB3","WB","ISCO",17,1990-11-28,1990,11,28,5,"FALL",117,44,7.2,87,35.9,147,1.4,,1.3,,127,,67,2.1,,1.82,-2.6,,5.44,5.74,,,33.6,
"EB8","EB","ISCO",18,1990-11-28,1990,11,28,6,"FALL",78,27,4.6,75,10.6,107,1.4,,1.8,,129,,63,1.8,,2.82,-0.4,,5.42,5.55,,,25.2,
"WB3","WB","ISCO",18,1990-11-28,1990,11,28,6,"FALL",117,44,7.9,88,36.3,145,1.4,,1.4,,124,,67,2.1,,1.95,-1.2,,5.54,5.71,,,33.6,
"EB8","EB","ISCO",19,1990-11-28,1990,11,28,7,"FALL",78,27,4.6,76,10.5,107,1.4,,1.7,,132,,62,1.8,,2.34,0.9,,5.46,5.63,,,25.3,
"WB3","WB","ISCO",19,1990-11-28,1990,11,28,7,"FALL",117,44,7.7,87,36.2,143,1.4,,1.4,,122,,67,2.1,,2.63,-2.2,,5.51,5.58,,,34.4,
"EB8","EB","ISCO",20,1990-11-28,1990,11,28,8,"FALL",77,27,4.6,75,10.3,106,1.4,,1.9,,130,,62,1.8,,2.75,1.4,,5.46,5.56,,,25.3,
"WB3","WB","ISCO",20,1990-11-28,1990,11,28,8,"FALL",116,44,7.2,87,36.9,144,1.4,,1.4,,121,,68,2.1,,3.31,-3.3,,5.51,5.48,,,34.4,
"EB8","EB","ISCO",21,1990-11-28,1990,11,28,9,"FALL",79,27,5.4,77,10.6,106,1.4,,1.6,,125,,62,1.8,,2.51,1.2,,5.46,5.6,,,25.3,
"WB3","WB","ISCO",21,1990-11-28,1990,11,28,9,"FALL",115,44,7.4,87,37.2,144,1.4,,1.3,,116,,69,2.1,,3.47,-4,,5.42,5.46,,,34,
"EB8","EB","ISCO",22,1990-11-28,1990,11,28,10,"FALL",76,26,4.6,75,10.8,107,1.4,,1.7,,127,,61,1.8,,2.82,0.4,,5.45,5.55,,,25.3,
"WB3","WB","ISCO",22,1990-11-28,1990,11,28,10,"FALL",118,44,7.4,87,36.2,142,1.4,,1.3,,125,,68,2.1,,2.51,-1.7,,5.58,5.6,,,33.9,
"EB8","EB","ISCO",23,1990-11-28,1990,11,28,11,"FALL",78,28,5.1,78,10.7,107,1.4,,1.7,,131,,62,1.8,,2.88,0.6,,5.43,5.54,,,25.3,
"WB3","WB","ISCO",23,1990-11-28,1990,11,28,11,"FALL",116,44,7.2,87,36.3,142,1.4,,1.5,,128,,68,2.1,,1.51,-0.9,,5.6,5.82,,,33.9,
"EB8","EB","ISCO",24,1990-11-28,1990,11,28,12,"FALL",78,27,5.4,78,10.8,107,1.4,,1.8,,127,,61,1.7,,2.88,-0.7,,5.4,5.54,,,25.3,
"WB3","WB","ISCO",24,1990-11-28,1990,11,28,12,"FALL",115,43,7.2,86,37.7,144,1.4,,1.3,,135,,71,2.1,,2.51,-2.8,,5.47,5.6,,,33.8,
"EB8","EB","ISCO",3,1990-11-30,1990,11,30,16,"FALL",80,28,4.6,79,9.8,107,1.4,,1.7,,130,,63,1.8,,3.02,2.9,,5.49,5.52,,,25.3,
"WB3","WB","ISCO",3,1990-11-30,1990,11,30,16,"FALL",108,41,7.4,89,37.9,137,1.4,,1.3,,138,,68,2.1,,1.91,1,,5.42,5.72,,,32.4,
"EB8","EB","ISCO",5,1990-12-02,1990,12,2,16,"WINTER",79,28,5.1,80,8.9,107,1.4,,1.7,,118,,64,1.9,,2.57,4.1,,5.52,5.59,,,25.4,
"WB3","WB","ISCO",5,1990-12-02,1990,12,2,16,"WINTER",106,40,7.4,91,34.1,132,1.4,,1.5,,114,,67,2.3,,2.75,1.3,,5.54,5.56,,,31.6,
"EB8","EB","ISCO",6,1990-12-03,1990,12,3,16,"WINTER",79,28,4.6,80,9.1,108,1.4,,1.8,,112,,64,1.9,,2.51,4.5,,5.52,5.6,,,25.4,
"WB3","WB","ISCO",6,1990-12-03,1990,12,3,16,"WINTER",104,39,5.9,89,33.4,130,1.4,,1.3,,100,,67,2.3,,1.23,1.7,,5.59,5.91,,,31.4,
"EB8","EB","ISCO",7,1990-12-04,1990,12,4,14,"WINTER",74,27,6.4,76,11.1,95,1.4,,1.8,,146,,64,1.6,,2.14,4.1,,5.45,5.67,,,24.5,
"WB3","WB","ISCO",7,1990-12-04,1990,12,4,14,"WINTER",101,39,8.4,83,31.6,123,1.4,,2,,156,,65,1.9,,1.95,0.9,,5.44,5.71,,,30.8,
"EB8","EB","ISCO",8,1990-12-04,1990,12,4,16,"WINTER",70,26,8.4,67,16.9,89,1.4,,3.7,,252,,58,1.4,,3.72,1.3,,5.21,5.43,,,24.5,
"WB3","WB","ISCO",8,1990-12-04,1990,12,4,16,"WINTER",106,40,12.8,72,42.6,135,2.77,,2.8,,280,,58,1.6,,4.9,-3.2,,5.13,5.31,,,33,
"EB8","EB","ISCO",9,1990-12-04,1990,12,4,18,"WINTER",67,26,14.6,59,21.3,88,1.4,,4.5,,328,,54,1.3,,5.62,0,,5.08,5.25,,,25.3,
"WB3","WB","ISCO",9,1990-12-04,1990,12,4,18,"WINTER",113,41,22.5,67,56.7,158,10.5,,3.6,,400,,56,1.5,,8.51,-8.5,,4.91,5.07,,,38.6,
"EB8","EB","ISCO",10,1990-12-04,1990,12,4,20,"WINTER",68,26,10.7,60,23,90,1.4,,3.8,,324,,53,1.3,,5.75,-3.5,,5.01,5.24,,,25.9,
"WB3","WB","ISCO",10,1990-12-04,1990,12,4,20,"WINTER",113,43,19.9,70,58.8,169,9.97,,3.1,,464,,57,1.6,,9.77,-10.9,,4.86,5.01,,,40.4,
"EB8","EB","ISCO",14,1990-12-05,1990,12,5,4,"WINTER",71,26,7.7,66,22.4,94,1.4,,2.7,,264,,53,1.5,,5.62,-2.4,,5.1,5.25,,,25.6,
"WB3","WB","ISCO",14,1990-12-05,1990,12,5,4,"WINTER",115,44,11.8,75,58.5,161,1.4,,2.3,,412,,59,1.7,,8.51,-10.6,,4.89,5.07,,,38.5,
"EB8","EB","REG",,1990-12-05,1990,12,5,13,"WINTER",75,27,6.9,66,20,99,1.4,,2.1,0.4,232,56,57,1.6,,5.37,-3.5,1.61,5.12,5.27,,,25,
"WB3","WB","REG",,1990-12-05,1990,12,5,13,"WINTER",116,44,9.7,77,55.7,155,1.4,,1.6,0.3,384,72,60,1.8,,8.91,-7.9,1.11,4.99,5.05,,,37.3,
"WB3","WB","REP",,1990-12-05,1990,12,5,13,"WINTER",116,44,10,77,55.8,155,1.4,,1.6,0.3,388,70,60,1.8,,8.91,-8.8,,,5.05,,,37.3,
"EB8","EB","ISCO",20,1990-12-05,1990,12,5,16,"WINTER",73,26,6.1,66,20.1,95,1.4,,2.2,,217,,55,1.5,,3.8,0.2,,5.21,5.42,,,25,
"WB3","WB","ISCO",20,1990-12-05,1990,12,5,16,"WINTER",115,44,9.7,78,57.8,155,1.4,,1.9,,344,,62,1.8,,6.61,-6.6,,4.98,5.18,,,36.9,
"WB3","WB","REG",,1990-12-11,1990,12,11,13,"WINTER",105,40,6.9,84,38.1,127,1.4,,1.5,0.4,144,39,62,2.3,,2.51,1.5,3.61,5.44,5.6,,,31.1,
"EB8","EB","REG",,1990-12-11,1990,12,11,13,"WINTER",80,29,5.6,77,12.5,103,1.4,,1.8,0.5,137,54,64,1.9,,2.34,2.9,4.78,5.51,5.63,,,24.9,
"WB3","WB","DUP",,1990-12-11,1990,12,11,13,"WINTER",105,40,7.2,84,38.3,128,1.4,,1.3,0.4,143,37,62,2.3,,2.57,0.7,3.77,5.46,5.59,,,31.2,
"EB8","EB","ISCO",4,1990-12-14,1990,12,14,16,"WINTER",80,30,4.6,77,12.6,104,1.4,,1.6,,134,,63,1.9,,3.02,0.9,,5.45,5.52,,,25.7,
"WB3","WB","ISCO",4,1990-12-14,1990,12,14,16,"WINTER",102,40,6.9,86,35.8,125,1.4,,1.3,,121,,64,2.4,,2.51,1.9,,5.46,5.6,,,31.2,
"EB8","EB","ISCO",8,1990-12-16,1990,12,16,16,"WINTER",75,28,4.6,72,13.8,97,1.4,,1.9,,134,,57,1.7,,2.4,0.4,,5.41,5.62,,,24.1,
"WB3","WB","ISCO",6,1990-12-16,1990,12,16,16,"WINTER",101,40,6.9,82,39.5,122,1.4,,1.5,,146,,60,2.1,,3.39,0.3,,5.37,5.47,,,31,
"WB3","WB","REG",,1990-12-18,1990,12,18,13,"WINTER",104,40,7.4,84,41,125,1.4,,1.3,0.4,147,37,60,2.2,,2.75,1.2,3.7,5.44,5.56,,,31.2,
"EB8","EB","DUP",,1990-12-18,1990,12,18,13,"WINTER",79,29,4.6,75,15.4,100,1.4,,1.6,0.4,132,,59,1.8,,2.63,0.2,3.54,5.43,5.58,,,25,
"EB8","EB","REG",,1990-12-18,1990,12,18,13,"WINTER",79,29,4.6,74,15.4,100,1.4,,1.7,0.5,131,51,58,1.8,,2.45,2,4.05,5.44,5.61,,,25,
"WB3","WB","REP",,1990-12-18,1990,12,18,13,"WINTER",104,40,6.9,84,41.5,125,1.4,,1.4,0.4,147,37,62,2.2,,2.88,1.9,,,5.54,,,31.3,
"EB8","EB","ISCO",1,1990-12-18,1990,12,18,16,"WINTER",79,30,4.6,75,15.7,99,1.4,,1.7,,150,,60,1.8,,1.95,3.4,,5.53,5.71,,,25.2,
"WB3","WB","ISCO",1,1990-12-18,1990,12,18,16,"WINTER",104,42,6.9,83,39.9,124,1.4,,1.5,,144,,62,2.2,,2.04,2.8,,5.58,5.69,,,31,
"EB8","EB","ISCO",3,1990-12-18,1990,12,18,20,"WINTER",75,29,5.1,70,17.8,94,1.4,,2.1,,181,,54,1.6,,2.95,-0.1,,5.42,5.53,,,24.7,
"WB3","WB","ISCO",2,1990-12-18,1990,12,18,20,"WINTER",106,43,7.7,79,45.5,128,1.4,,1.8,,224,,58,1.9,,3.72,2.5,,5.48,5.43,,,32.2,
"EB8","EB","ISCO",5,1990-12-18,1990,12,18,24,"WINTER",76,29,5.4,70,22.5,97,1.4,,2.3,,248,,54,1.5,,3.98,-0.4,,5.37,5.4,,,25.5,
"WB3","WB","ISCO",4,1990-12-18,1990,12,18,24,"WINTER",111,44,7.2,78,55.4,136,1.4,,1.9,,312,,58,1.8,,5.75,-3.4,,5.22,5.24,,,34.9,
"EB8","EB","ISCO",7,1990-12-19,1990,12,19,4,"WINTER",75,29,5.1,68,23.1,97,1.4,,2.2,,232,,53,1.5,,4.57,-5.8,,5.18,5.34,,,25.4,
"WB3","WB","ISCO",6,1990-12-19,1990,12,19,4,"WINTER",115,45,7.7,78,63.3,142,1.4,,1.7,,380,,58,1.8,,7.24,-7.1,,5.05,5.14,,,36.7,
"EB8","EB","ISCO",11,1990-12-19,1990,12,19,12,"WINTER",77,29,4.6,68,22.3,98,1.4,,2.1,,220,,54,1.5,,4.17,-1.1,,5.38,5.38,,,25.4,
"WB3","WB","ISCO",10,1990-12-19,1990,12,19,12,"WINTER",117,46,7.7,79,65,142,1.4,,1.7,,384,,58,1.8,,6.92,-4.5,,5.13,5.16,,,37.3,
"EB8","EB","ISCO",15,1990-12-19,1990,12,19,20,"WINTER",77,29,5.1,69,22.4,99,1.4,,1.9,,208,,56,1.6,,3.72,0.1,,5.43,5.43,,,25.3,
"WB3","WB","ISCO",14,1990-12-19,1990,12,19,20,"WINTER",117,46,7.7,80,62,139,1.4,,1.5,,352,,58,1.9,,6.46,-4.4,,5.16,5.19,,,36.6,
"WB3","WB","REG",,1990-12-25,1990,12,25,12,"WINTER",110,44,7.2,80,56.5,143,1.4,,1.7,0.4,460,43,59,1.9,,8.32,-6.9,1.35,5.04,5.08,,,36.4,
"WB3","WB","DUP",,1990-12-25,1990,12,25,12,"WINTER",111,44,7.7,82,57.5,146,1.4,,1.7,0.4,456,44,63,1.9,,7.59,-6,1.31,5.04,5.12,,,36.3,
"EB8","EB","REG",,1990-12-25,1990,12,25,13,"WINTER",73,28,5.1,70,18,96,1.4,,2.1,0.4,244,70,54,1.6,,5.37,-5.4,1.98,5.18,5.27,,,25,
"EB8","EB","REP",,1990-12-25,1990,12,25,13,"WINTER",73,28,4.9,69,18.8,99,1.4,,2,0.4,232,70,55,1.6,,5.01,-3.8,,,5.3,,,25,
"EB8","EB","ISCO",4,1990-12-28,1990,12,28,16,"WINTER",76,29,5.4,74,15,105,1.4,,1.9,,174,,63,1.8,,3.63,-5.2,,5.22,5.44,,,25.4,
"WB3","WB","ISCO",4,1990-12-28,1990,12,28,16,"WINTER",101,41,6.6,81,43.1,132,1.4,,1.4,,207,,62,2.3,,5.62,-2.9,,5.23,5.25,,,32.3,
"EB8","EB","ISCO",11,1990-12-30,1990,12,30,16,"WINTER",75,29,4.6,71,17.8,103,1.4,,1.9,,177,,59,1.7,,3.72,-2.9,,5.33,5.43,,,25.3,
"WB3","WB","ISCO",6,1990-12-30,1990,12,30,16,"WINTER",97,39,6.9,80,39.8,128,1.4,,1.5,,177,,61,2.3,,4.07,-5.2,,5.25,5.39,,,31.3,
"EB8","EB","REG",,1991-01-02,1991,1,2,14,"WINTER",77,29,4.6,73,15.8,100,1.4,,1.9,0.4,162,54,57,1.7,,2.34,0.8,3.08,5.33,5.63,,,24.9,
"WB3","WB","REG",,1991-01-02,1991,1,2,14,"WINTER",103,42,6.6,82,45.4,131,1.4,,1.4,0.4,191,34,62,2.2,,3.31,-0.1,2.42,5.26,5.48,,,31.9,
"EB8","EB","REG",,1991-01-08,1991,1,8,12,"WINTER",83,30,5.1,79,14.1,105,1.4,,1.6,0.6,144,54,65,1.9,,1.78,1.1,4.91,5.42,5.75,,,25.8,
"WB3","WB","DUP",,1991-01-08,1991,1,8,12,"WINTER",100,39,6.6,85,38.3,122,1.4,,1.2,0.5,143,39,63,2.5,,2.63,-1.8,4.78,5.48,5.58,,,31,
"WB3","WB","REG",,1991-01-08,1991,1,8,12,"WINTER",102,41,6.6,87,38.3,122,1.4,,1.2,0.5,141,33,64,2.6,,2.57,-0.1,4.4,5.42,5.59,,,30.9,
"WB3","WB","REG",,1991-01-15,1991,1,15,14,"WINTER",93,38,7.2,86,31.9,115,1.4,,1.1,0.6,111,35,63,2.7,,1.66,1.4,5.33,5.42,5.78,,,29.3,
"WB3","WB","REP",,1991-01-15,1991,1,15,14,"WINTER",93,39,7.2,85,31.6,114,1.4,,1.1,0.6,112,35,61,2.7,,1.66,1.1,6.91,5.54,5.78,,,29.3,
"EB8","EB","DUP",,1991-01-15,1991,1,15,15,"WINTER",82,31,5.4,80,12.3,104,1.4,,1.6,0.8,132,46,64,2.1,,1.48,3.8,8.24,5.51,5.83,,,25.5,
"EB8","EB","REG",,1991-01-15,1991,1,15,15,"WINTER",83,31,5.9,81,12.7,105,1.4,,1.8,0.8,132,52,65,2.1,,1.32,4.6,8.86,5.54,5.88,,,25.5,
"WB3","WB","ISCO",6,1991-01-17,1991,1,17,16,"WINTER",93,39,6.6,84,36.1,115,1.4,,1.2,,88,,63,2.5,,1.66,3.3,,5.64,5.78,,,28.2,
"EB8","EB","REG",,1991-01-22,1991,1,22,13,"WINTER",81,31,4.6,75,18.5,102,1.4,,1.4,0.4,117,46,58,2,,2.34,-0.1,4.27,5.51,5.63,,,25.7,
"EB8","EB","REP",,1991-01-22,1991,1,22,13,"WINTER",80,31,4.6,75,18.6,101,1.4,,1.4,0.4,119,45,58,2,,2.09,1.4,4.09,5.5,5.68,,,25.7,
"WB3","WB","DUP",,1991-01-22,1991,1,22,13,"WINTER",97,42,6.1,83,40,117,1.4,,1.2,0.4,106,33,62,2.5,,1.86,0.4,4.34,5.53,5.73,,,30.8,
"WB3","WB","REG",,1991-01-22,1991,1,22,13,"WINTER",97,42,6.1,83,39.5,115,1.4,,1,0.4,109,35,60,2.5,,1.86,-0.2,4.34,5.53,5.73,,,30.4,
"EB8","EB","REG",,1991-01-29,1991,1,29,12,"WINTER",79,31,4.9,77,16.4,107,1.4,,1.3,0.5,120,45,63,2,,1.78,2.4,5.29,5.54,5.75,,,25,
"EB8","EB","REP",,1991-01-29,1991,1,29,12,"WINTER",79,31,5.1,77,16.5,107,1.4,,1.3,0.5,119,45,62,1.9,,2,2,5.4,5.56,5.7,,,25,
"WB3","WB","REG",,1991-01-29,1991,1,29,12,"WINTER",93,40,6.9,86,36.5,116,2.77,,1.1,0.5,93,30,63,2.5,,1.74,3.2,5.71,5.61,5.76,,,28.7,
"WB3","WB","ISCO",6,1991-02-03,1991,2,3,16,"WINTER",91,40,6.6,86,36,115,1.4,,1.2,,82,,64,2.6,,1.23,4.2,,5.79,5.91,,,27.6,
"EB8","EB","REG",,1991-02-05,1991,2,5,12,"WINTER",81,32,5.4,79,16.7,102,1.4,,1.4,0.6,104,46,63,2,,1.35,4.2,5.14,5.46,5.87,,,24.8,
"WB3","WB","DUP",,1991-02-05,1991,2,5,12,"WINTER",92,40,6.6,85,36.8,115,1.4,,1,0.5,79,31,64,2.6,,1.15,2.8,6.57,5.65,5.94,,,28.2,
"WB3","WB","REG",,1991-02-05,1991,2,5,12,"WINTER",92,40,6.6,84,36.8,113,1.4,,1.1,0.5,80,27,63,2.6,,1.12,3.7,6.97,5.66,5.95,,,28.1,
"WB3","WB","ISCO",6,1991-02-10,1991,2,10,16,"WINTER",92,40,6.9,87,40.8,116,1.4,,1.2,,69,,63,2.6,,1.07,5.6,,5.69,5.97,,,28,
"EB8","EB","DUP",,1991-02-12,1991,2,12,11,"WINTER",80,31,4.9,77,16.4,110,1.4,,1.3,0.5,106,46,62,2,,1.62,2.1,4.12,5.37,5.79,,,25.4,
"EB8","EB","REG",,1991-02-12,1991,2,12,11,"WINTER",80,32,4.9,78,18.6,112,1.4,,1.3,0.5,108,43,62,2,,1.51,3.1,6.32,5.59,5.82,,,25.2,
"WB3","WB","REG",,1991-02-12,1991,2,12,11,"WINTER",94,42,6.6,87,38.5,118,1.4,,1.2,0.5,82,32,64,2.6,,1.1,4.4,6.97,5.66,5.96,,,28.8,
"WB3","WB","REP",,1991-02-12,1991,2,12,11,"WINTER",94,43,6.6,87,36.4,116,1.4,,1.2,0.5,82,30,65,2.6,,1.2,4.1,9.71,5.85,5.92,,,28.3,
"WB3","WB","ISCO",6,1991-02-17,1991,2,17,16,"WINTER",95,43,6.9,88,40.7,116,1.4,,1.2,,63,,66,2.6,,1.12,4.4,,5.81,5.95,,,28.6,
"EB8","EB","REG",,1991-02-20,1991,2,20,14,"WINTER",87,34,5.9,77,25.5,108,1.4,,1.5,0.6,98,38,60,1.7,,1.26,4.5,6.96,5.62,5.9,,,25.8,
"WB3","WB","DUP",,1991-02-20,1991,2,20,14,"WINTER",96,43,7.7,83,43.2,115,1.4,,1.1,0.5,73,26,60,2.2,,0.89,4.9,8.43,5.74,6.05,,,29,
"WB3","WB","REG",,1991-02-20,1991,2,20,14,"WINTER",98,43,7.7,83,44.8,117,1.4,,1.2,0.5,73,33,61,2.2,,0.98,3.8,8.43,5.74,6.01,,,29,
"EB8","EB","ISCO",4,1991-02-22,1991,2,22,16,"WINTER",85,32,5.4,75,22.5,106,1.4,,1.5,,94,,60,1.8,,1.15,4.2,,5.66,5.94,,,25.5,
"WB3","WB","ISCO",4,1991-02-22,1991,2,22,16,"WINTER",95,42,7.2,83,40.1,109,1.4,,1.2,,65,,59,2.3,,0.87,6.5,,5.75,6.06,,,27.8,
"EB8","EB","ISCO",6,1991-02-24,1991,2,24,16,"WINTER",85,33,5.4,78,21.8,107,1.4,,1.4,,90,,63,1.9,,1.2,3,,5.61,5.92,,,26,
"WB3","WB","ISCO",6,1991-02-24,1991,2,24,16,"WINTER",97,43,6.9,84,42.4,115,1.4,,1.1,,62,,64,2.4,,0.72,7,,5.79,6.14,,,29.3,
